EN,Owner,Unit name,Fuel,Fuel calorific value [kJ/kg],Installed capacity gross [MW],Commission date,Proposed decommission date,Latitude,Longitude,,,,,,,,,,,,,,,,
,EC B?dzin SA,Bedzin B1,Hard coal,23125,78,1989,2040,50.302,19.137,,,,,,,,,,,,,,,,
,ENEA,Bialystok B1,Hard coal,23163,33.4,1978,2039,53.148,23.17,,,,,,,,,,,,,,,,
,ENEA,Bialystok B2,Hard coal,23163,50,1981,2040,53.148,23.17,,,,,,,,,,,,,,,,
,ENEA,Bialystok B3,Hard coal,23163,50,1991,2040,53.148,23.17,,,,,,,,,,,,,,,,
,ENEA,Bialystok B4,Hard coal,23163,23.2,2003,2040,53.148,23.17,,,,,,,,,,,,,,,,
,Tauron,Bielsko - Biala - 1,Hard coal,19577,50.8,2013,2040,49.812,19.053,,,,,,,,,,,,,,,,
,Tauron,Bielsko - Biala - 2,Hard coal,19577,50,2013,2040,49.812,19.053,,,,,,,,,,,,,,,,
,Tauron,Bielsko-Polnoc,Hard coal,18358,55,1997,2040,49.812,19.053,,,,,,,,,,,,,,,,
,PGE,Bydgoszcz II B2,Hard coal,22467,35,1971,2030,53.099,18.088,,,,,,,,,,,,,,,,
,PGE,Bydgoszcz II B3,Hard coal,22467,55,1976,2035,53.099,18.088,,,,,,,,,,,,,,,,
,PGE,Bydgoszcz II B4,Hard coal,22467,32,1984,2040,53.099,18.088,,,,,,,,,,,,,,,,
,PGE,Bydgoszcz II B5,Hard coal,22467,55,1999,2040,53.099,18.088,,,,,,,,,,,,,,,,
,CEZ,Chorzow 2 B1,Hard coal,17303,113,2003,2040,50.308,18.969,,,,,,,,,,,,,,,,
,CEZ,Chorzow 2 B2,Hard coal,17303,113,2003,2040,50.308,18.969,,,,,,,,,,,,,,,,
,PGE,Czechnica 1,Hard coal,24124,50,1983,2023,51.038,17.15,,,,,,,,,,,,,,,,
,PGE,Czechnica 2,Hard coal,24124,50,1982,2023,51.038,17.15,,,,,,,,,,,,,,,,
,PGE,Czechnica 3,Hard coal,24124,32,1955,2023,51.038,17.15,,,,,,,,,,,,,,,,
,Fortum,Czestochowa,Hard coal,22467,64,2010,2040,50.794,19.143,,,,,,,,,,,,,,,,
,TAMEH,EC Nowa B1,Hard coal,24993,25,1980,2040,50.341944,19.266111,,,,,,,,,,,,,,,,
,TAMEH,EC Nowa B2,Hard coal,24993,25,1981,2040,50.341944,19.266111,,,,,,,,,,,,,,,,
,TAMEH,EC Nowa B3,Hard coal,24993,25,1979,2040,50.341944,19.266111,,,,,,,,,,,,,,,,
,TAMEH,EC Nowa B4,Hard coal,24993,55,2016,2040,50.341944,19.266111,,,,,,,,,,,,,,,,
,TAMEH,EC Nowa B5,Hard coal,24993,50,1992,2040,50.341944,19.266111,,,,,,,,,,,,,,,,
,Polenergia EC Nowa Szarzyna,EC Nowa Szarzyna B1,Gas,51283,48.8,,,50.3159,22.3245,,,,,,,,,,,,,,,,
,Polenergia EC Nowa Szarzyna,EC Nowa Szarzyna B2,Gas,51283,48.8,,,50.3159,22.3245,,,,,,,,,,,,,,,,
,Polenergia EC Nowa Szarzyna,EC Nowa Szarzyna B3,Gas,51283,31.3,,,50.3159,22.3245,,,,,,,,,,,,,,,,
,PGE,EC Rzeszów,Gas,51283,138,,,50.064917,22.029861,,,,,,,,,,,,,,,,
,TAMEH,EC Sendzimira B1,Hard coal,25277,25,1955,2024,50.074714,20.084386,,,,,,,,,,,,,,,,
